date,headline,content,url,source,country,worldview_score
2024-04-10,Skakande orden i rätten: ”Rann blod i mina ögon”,"Under 30 minuter misshandlade de tre män och heilade på Stockholms gator. I deras hem hittades ”Mein Kampf”, klottrade hakkors och material från Aktivklubb. check Direktrapportering från första rättegångsdagencheck Offret: ”Rann blod i mina ögon”check Advokaten: ”En nödvärnssituation”",https://www.aftonbladet.se/nyheter/a/OoLd3k/nazister-misstanks-for-tre-misshandlar-folj-rattegangen,Aftonbladet,sweden,3
2021-03-30,Trumps vändning: Blir inga matkuponger,"Det blir inga utbetalningar av matkuponger förrän USA:s statsapparat öppnar igen, uppger president Donald Trump. Beskedet går stick i stäv med vad Vita huset lät meddela i måndags. Till följd av en blockerad budget har USA:s statsapparat varit nedstängd i en dryg månad, vilket innebar att finansieringen av det federala program som betalar ut matkuponger till behövande – vilka utgör drygt 12 procent av USA:s befolkning – löpte ut i lördags. Efter det att två federala domare nyligen slagit fast att regeringen var tvungen att fortsätta betala ut matkupongerna sade dock Trumps administration under gårdagen att utbetalningarna skulle ske med hjälp av reservfonder. Men så ser det inte längre ut att bli, enligt ett inlägg på Truth Social av Trump, där han skriver att programmet med matkuponger kommer att återupptas ”först när de radikala vänster-demokraterna öppnar statsapparaten igen, vilket de enkelt kan göra, och inte innan dess!”.",https://www.aftonbladet.se/nyheter/a/GyvQb9/trumps-vandning-blir-inga-matkuponger,Aftonbladet,sweden,3
2021-01-27,Skakande orden i rätten: ”Rann blod i mina ögon”,"/ Under 30 minuter misshandlade de tre män och heilade på Stockholms gator. I deras hem hittades ”Mein Kampf”, klottrade hakkors och material från Aktivklubb. check Direktrapportering från första rättegångsdagencheck Offret: ”Rann blod i mina ögon”check Advokaten: ”En nödvärnssituation”",https://www.aftonbladet.se/nyheter/a/OoLd3k/nazister-misstanks-for-tre-misshandlar-folj-rattegangen,Aftonbladet,sweden,3
2025-09-23,"Trump drømmer om fredspris, men siden torsdag har præsidenten luftet atomvåbene, bombet endnu en båd og truet Nigeria med ""guns-a-blazing""-aktion","Trump har både harceleret mod ""Forever Wars"" og kaldt sig selv ""Fredens Præsident"", men nu har præsidenten bedt krigsministeriet om at forberede en mulig aktion i Afrika. De kristne i Nigeria er under angreb, påstår den amerikanske præsident på Truth Social. Endda med grønt lys fra landets ledere, mener Trump. - Hvis den nigerianske regering fortsætter med at tillade drab på kristne, vil USA omgående stoppe al nødhjælp og assistance, truer den amerikanske præsident. Men truslerne stopper slet ikke der. Faktisk kan nigerianerne måske se frem til et ufredeligt visit af amerikanske styrker, “guns-a-blazing"", som Trump skriver. - Hvis vi angriber bliver det hurtigt, voldsomt og sødt. Ligesom terrorist-slynglerne, der angriber vores højt skattede kristne. Men ifølge DR Nyheders Afrika-korrespondent, Søren Bendixen, står det ikke mejslet i granit, hvilke angreb Trump prøver at beskytte Nigerias kristne fra. - Det er ikke klart, hvad det præcist er, Trump hentyder til, men i USA har der cirkuleret beskyldninger om drab på kristne. Trump lægger dog ingen beviser på bordet. Nigeria har været plaget af vold i en årrække. Især bortførelser har gentagende gange været et problem. Sidste år forsvandt tæt på 300 kvinder og skoleelever inden for ganske få dage af hinanden. Urolighederne i landet har primært to afsendere. De to islamistiske grupper Boko Haram og terrorgruppen Islamisk Stat. Volden har dog ikke noget særligt kristent fortegn, fortæller Søren Bendix. - Nigeria har i mere end et årti været hjemsøgt af islamisk terrorisme i form af Boko Haram og Islamisk Stat. Deres ofre er dog ikke specifikt kristne. Tusindvis af muslimer har også mistet livet eller har oplevet angreb på skoler og kidnapninger. Selv hvis Trump fastholder fortællingen om, at kristne er under målrettede angreb i Nigeria, er der ikke noget i historikken, der tyder på, at et amerikansk korstog kan løse de påståede kristne kvaler. - Det er ret svært at forestille sig, at amerikansk militær med et snuptag sk",https://www.dr.dk/nyheder/udland/trump-droemmer-om-fredspris-men-siden-torsdag-har-praesidenten-luftet-atomvaabene-bombet-endnu-en,DR,denmark,3
2024-07-05,"Kina forbyder influencere at dele sundhedstips, hvis ikke de er uddannede","Intentionen med loven er at forhindre spredning af misinformation, når det kommer til sundhed, jura, uddannelse og økonomi, lyder den officielle forklaring. I Kina vil man gøre op med influencere, der deler sundhedstips, viden om økonomi eller reklamerer for kosttilskud. For den kinesiske regering har gjort det forbudt for influencere at dele videoer, hvor de taler om ""alvorlige"" emner, de ikke er uddannet i. Det gælder for eksempel sundhed og medicin, uddannelse, økonomi og jura. Det er også blevet ulovligt at reklamere for medicin og kosttilskud. Så hvis en kinesisk influencer ikke kan fremvise et eksamensbevis for at have læst på for eksempel en sundhedsfaglig uddannelse eller har en anden form for certificering, må vedkommende fremover ikke tale om sundhed eller anbefale kosttilskud på deres sociale medier. Fra officielt hold lyder forklaringen, at man vil bekæmpe misinformation og beskytte borgere mod skadelige råd, der kan komme fra influencere. Det fortæller Mette Thunø, der er ph.d. og lektor i Kinastudier ved Aarhus Universitet. - Der har været nogle uheldige eksempler i Kina på, at influencere har promoveret urtemedicin i forhold til diabetes, og det vil man blandt andet stoppe med den her lovgivning, siger hun i P1 Morgen. Også sociale medier og platforme som Weibo og Douyin, der er den kinesiske version af TikTok, bliver fremover ansvarlige for at sikre, at det indhold, der deles, henviser til de rette kilder og medtager eventuelle forbehold. Men udover bekæmpelse af misinformation, ligger der også en mulighed for at stramme den politiske kontrol med den offentlige samtale, peger Mette Thunø på. Hvis man synes, at influencere herhjemme har fået for stor magt og får for meget opmærksomhed, så er det intet sammenlignet med de kinesiske influencere, siger Mette Thunø. For i Kina er kulturen omkring influencere ""enorm"". - Den har en helt anden betydning end herhjemme. Den har en fantastisk høj markedsværdi. Nogle anslår den til 1,2 billioner kroner, og der e",https://www.dr.dk/nyheder/udland/kina-forbyder-influencere-dele-sundhedstips-hvis-ikke-de-er-uddannede,DR,denmark,3
2024-03-11,"Voksne mænds begær af teenage-piger var helt i orden og endda normalt. Nu udskammes mænd for noget, som samfundet selv har skabt","I 90erne optrådte en 17-årig Britney Spears i skolepigeuniform og komiker Jerry Seinfeld blev kærester med en teenager. I dag udskammes mænds begær af unge kvinder og piger. Men det er et fænomen som kulturen selv har skabt, mener journalist og forfatter. Det har nærmest altid været accepteret, at voksne mænd begærede helt unge teenagepiger. Og det er der ikke noget at sige til.",https://www.berlingske.dk/eksistens/voksne-maends-begaer-af-teenage-piger-var-helt-i-orden-og-endda-normalt-nu-udskammes-maend-for-noget-som-samfundet-selv-har-skabt,Berlingske,denmark,3
2023-09-27,Imamer mægler i voldssager og saboterer politiets arbejde,"Alvorlige voldssager i Aarhus’ udsatte boligområder bliver løst af parallelle retssystemer. Imamer og toneangivende familier lukker voldssager ned uden om politi og domstolene, og ifølge politiets oplysninger får imamerne også penge for at involvere sig i ulovlige mæglinger. En række voldsepisoder er klaret »internt«, viser Berlingskes research. Hør oplæser Caroline Toft Baunkjær læse artiklen højt ved at klikke på play-ikonet under billedet. Der er boligblokke i Aarhus, hvor områdets toneangivende mænd tropper op i opgange og banker på døre efter voldsepisoder, som burde være indlysende sager for politiet. Imamer og andre dominerende personer fra lokalområdet insisterer på, at de – og ikke de danske domstole – skal løse konflikterne. Og gerne med penge på bordet. Berlingske kan nu på baggrund af omfattende research og dokumentation samt samtaler med en lang række kilder beskrive, hvordan fremtrædende familier, kriminelle og andre med magtfulde positioner i Aarhus’ udsatte boligområder er involveret i illegitime mæglinger. Mæglingerne er problematiske, fordi de forhindrer politiet i at efterforske og domstolene i at dømme. Samtidig afskærer imamer og magtfulde familier ofrene fra de rettigheder og den hjælp, som myndighederne tilbyder for eksempel voldsramte kvinder og mænd. Justitsminister Peter Hummelgaard (S) er dybt alarmeret over mæglingerne. »Det, I afdækker her, er stærkt bekymrende. Jeg har ikke haft konkret viden om det her før nu, og hvis jeg skal være helt ærlig, synes jeg, at det er kvalmende,« siger Peter Hummelgaard. Østjyllands Politi bekræfter over for Berlingske, at der foregår mæglinger, som obstruerer deres arbejde. Det er direkte ulovligt, hvis mæglinger bliver brugt til at ændre vidners forklaringer i retten, eller hvis man truer et offer eller et vidne. Imamer har ifølge politiets efterretninger i nogle tilfælde også fået betaling for at deltage i ulovlige mæglinger om straffesager, der skulle have været håndteret af politi og domstole. Fænomen",https://www.berlingske.dk/indland/imamer-maegler-i-voldssager-og-saboterer-politiets-arbejde,Berlingske,denmark,3
2022-06-29,'Red jøderne fra den promiskuøse hær': Titusindvis af ultraortodokse jøder gik til krig mod militærtjeneste,"Flere hundrede demonstranter røg i karambolage med politiet, skriver israelsk medie. Store grupper af ultraortodokse jødiske mænd var i går på gaden i Jerusalem. Her samledes de i protest mod myndighedernes tiltag, der vil skrotte årelange traditioner om fritagelse og sende mændene i militæret. Ifølge det israelske medie The Times of Israel var omkring 200.000 på gaden, hvor både journalister og politibetjente røg i karambolage med demonstranterne. Nyhedsbureauet AP beretter om titusindvis af deltagere. - Gud af jøderne. Red venligst alle jøderne fra den ubeskedne og promiskuøse hær, stod der på et medbragt skilt. Et andet skilt advarede mod udryddelsen af jødedommen ved at indføre værnepligt for de studerende. Flere deltagere stod i store grupper og vuggede frem og tilbage, mens de bad. Arrangørerne måtte på et tidspunkt opfordre til at nedlægge demonstrationen, da flere af de fremmødte hoppede over hegnet til et endnu ikke færdigbygget højhus. En ung mand omkom på stedet, da han faldt ned fra bygningens 20. etage. Ifølge The Times of Israel undersøger politiet nu, om der kan være tale om selvmord. Redningsfolk melder samtidig om 140 sager med lettere tilskadekomne demonstranter, ligesom en betjent også meldes såret. For de fleste israelere er værnepligten en indgroet del af livet. Den gælder både mænd og kvinder, og selvom reglerne for kønnene er forskellige, fødes mange med udsigten til mindst to år i trøjen. Men en gruppe i det israelske samfund har i årevis været undtaget. Det gælder de ultraortodokse yeshiva-studerende, der i stedet dedikerer livet til at læse jødernes hellige bog, Toraen. For dem har der ikke været tale om militærtjeneste, men snarere en slags åndelig tjeneste, der skal bevare og holde liv i jødedommen. Men nu går den ikke længere. Israels højesteret har afgjort, at de unge mænd ikke længere kan skjule sig bag den hellige bog. De skal i hæren, og det har fået sindene i kog. Blandt de fremmødte var Baruch Debchic, der til AP sagde, at de ultra",https://www.dr.dk/nyheder/udland/red-joederne-fra-den-promiskuoese-haer-titusindvis-af-ultraortodokse-joeder-gik-til-krig-mod,DR,denmark,3
2022-04-10,Trump truer med militæraktion i Nigeria,"Trump beskylder Nigerias regering for ikke at beskytte deres kristne borgere mod voldelige islamister. Nigerias præsident afviser beskyldningen. USA's præsident, Donald Trump, skyder med skarpt mod det vestafrikanske land Nigeria og truer med at indlede en militæraktion. Det skyldes, at Nigeria ifølge Trump tillader drab på kristne. I et opslag på sit sociale medie Truth Social skriver præsidenten, at han har bedt forsvarsministeriet ""om at gøre klar til mulig handling"". Ifølge præsidenten begår ""radikale islamister massakrer i stor skala"" og truer kristendommens eksistensgrundlag i landet. - Vi kan meget vel gå ind i det nu vanærede land med fuld kraft (""guns-a-blazing"") for helt at udslette de islamiske terrorister, som begår disse forfærdelige grusomheder, skriver den amerikanske præsident. Trump truer ligeledes med at indefryse al nødhjælp til landet. USA har over de seneste ti år sendt 7,8 milliarder dollar til landet. Nigerias præsident, Bola Ahmed Tinubu, afviser beskyldningen og skriver i et opslag på X, at religionsfrihed og tolerance er centrale principper i den kollektive bevidsthed i Nigeria. - Karakteriseringen af ​​Nigeria som religiøst intolerant afspejler ikke vores nationale virkelighed, og den tager heller ikke hensyn til regeringens konsekvente og oprigtige indsats for at beskytte religions- og trosfrihed for alle nigerianere, skriver han. Nigeria, som har over 220 millioner indbyggere, er stort set ligeligt delt op mellem kristne og muslimer. Særligt det nordlige Nigeria har i flere år været præget af vold fra væbnede ekstremistgrupper som Boko Haram og ISWA, som står for Islamisk Stat i Vestafrika. I 2009 satte Boko Haram sig for at etablere en islamisk stat, hvilket har resulteret i titusindvis af menneskers død og fordrivelse af over to millioner mennesker. De har blandt andet været berygtet for selvmordsbomber, bortførelser, tortur, voldtægter og rekruttering af børnesoldater. Ifølge EU er Nigeria det land i verden, der er hårdest ramt af vol",https://www.dr.dk/nyheder/udland/trump-truer-med-militaeraktion-i-nigeria,DR,denmark,3
2021-11-08,"Her er indvandringen løbet løbsk. Saint-Denis er blevet symbolet på det, der er galt i Frankrig i dag","Engang var det her, franskmændene begravede deres konger. I dag er Saint-Denis domineret af muslimsk kultur, mens svinekød, alkohol og vestlig mode er en saga blot. Her er indbyggere med franske rødder i mindretal, og politiet kommer ikke, selv når en borger er truet på sit liv. Berlingske har besøgt byen, alle flygter fra, så snart de kan. Hør journalist Solveig Gram Jensen læse artiklen højt ved at klikke på play-ikonet under billedet. På papiret så alt strålende ud: Han var under 30 år og havde netop købt en stor og nybygget lejlighed blot et kvarters metrokørsel fra Paris. Men tiden her i Saint-Denis endte som fem år med daglig mavepine af frygt for tyveri og overfald i metroen. Med vold og mordtrusler fra naboerne. Og tit og ofte en grundlæggende følelse af at være fremmed i sit eget land:",https://www.berlingske.dk/internationalt/her-er-indvandringen-loebet-loebsk-saint-denis-er-blevet-symbolet-paa-det-der-er-galt-i-frankrig-i-dag,Berlingske,denmark,3
