date,headline,content,url,source,country,primary_agenda,primary_category,political_categories,cultural_categories,political_score,cultural_score
2025-10-29,Lars Findsens sag mod Anklagemyndigheden – følg med her,"Onsdag afsiges der dom i sagen, tidligere chef for Forsvarets Efterretningstjeneste Lars Findsen har anlagt mod Anklagemyndigheden. Følg udviklingen her.",https://www.berlingske.dk/indland/lars-findsens-sag-mod-anklagemyndigheden--foelg-med-her-2?directpost=10472899,Berlingske,denmark,political,defense,defense,,1,0
2025-10-29,Novo kan genoptage samarbejde med amerikansk online-apotek,"Telemedicinselskabet Hims & Hers fortæller, at man forhandler med Novo Nordisk om ny aftale. Mindre end to måneder efter, at aftalen med Novo Nordisk og det amerikanske onlineapotek Hims & Hers blev indgået i foråret, sluttede det igen. Men nu giver parterne tilsyneladende samarbejdet en ny chance. Hims & Hers fortæller i hvert fald ifølge MarketWire, at man er i forhandlinger med Novo Nordisk om igen at gøre Wegovy tilgængeligt for sine kunder. Novo har over for Bloomberg News bekræftet historien. Hims & Hers tilbyder medicin og lægekonsultation via nettet, herunder vægttabsbehandlinger. Det var også på den baggrund, at de to selskaber indgik den oprindelige aftale om at tilbyde Wegovy til onlinepatienterne. Men Hims & Hers solgte ifølge Novo Nordisk sideløbende med Wegovy også kinesiske kopier af det patenterede vægttabsmiddel, og det fik Novo til ret hurtigt at opsige kontrakten igen. Hims & Hers er et af de selskaber, der i begyndelsen af året udnyttede, at der var mangel på Wegovy i USA. Når det er tilfældet, kan man lovligt sælge kopier af patentbeskyttet medicin, indtil mangelsituationen er overstået. Hims & Hers blev stiftet i 2017 og har ifølge egne oplysninger mere end to millioner amerikanere som kunder. Selskabet er børsnoteret i New York. /ritzau/",https://www.berlingske.dk/business/novo-kan-genoptage-samarbejde-med-amerikansk-online-apotek,Berlingske,denmark,cultural,arts,,"arts,work_culture",0,2
2025-10-27,Nedskrivninger trækker Ørsted-regnskab i minus,"På trods af øget produktion i tredje kvartal leverer Ørsted et minus på 1,7 milliarder kroner. Med gennemførelsen af en milliardstor kapitaludvidelse og et nyligt salg af ejerandele af havvindparken Hornsea 3 står Ørsted med en kassebeholdning, der kan klare lidt af hvert. I tredje kvartal måtte det danske energiselskab alligevel indkassere et minus på 1,7 milliarder kroner på bundlinjen. Det negative resultat skyldtes dog i høj grad nedskrivninger for 1,76 milliarder kroner, der altså i høj grad var medvirkende til at gøre sorte tal røde. Nedskrivninger er fald i værdien på ting, et selskab ejer, der betragtes som tab. Og i Ørsteds tilfælde er det igen de amerikanske havvindprojekter, der driver nedskrivningerne. I noterne til regnskabet opgør selskabet selv stigende importtold og påvirkningerne fra det byggestop, der blev indført af de amerikanske myndigheder på havvindparken Revolution Wind som hovedårsagerne til nedskrivningernes omfang. Administrerende direktør Rasmus Errboe kigger i sine bemærkninger til regnskabet fremad og fokuserer på de positive nyheder. - Jeg er tilfreds med de gode fremskridt på vores igangværende projekter og vores solide drift. - Selv om vindhastighederne var lavere i kvartalet, øgede vi vores strømproduktion med otte procent sammenlignet med tredje kvartal sidste år, siger han. Ørsted fastholder sin forventning til regnskabsåret om et driftsoverskud på mellem 24 og 27 milliarder kroner. Det forventes også, at de igangværende projekter vil forbedre Ørsteds driftsresultat med mellem 11 og 12 milliarder kroner årligt, når de engang er færdigbygget. Til gengæld har Ørsted skruet ned for de strategiske ambitioner og vil fremover udelukkende satse på europæiske havvindprojekter. Det har samtidig betydet, at man forventer at reducere medarbejderstaben med omkring 2000 personer frem mod 2017, i takt med at de eksisterende projekter afsluttes. /ritzau/",https://www.berlingske.dk/business/nedskrivninger-traekker-oersted-regnskab-i-minus,Berlingske,denmark,cultural,arts,foreign_policy,"arts,work_culture",1,2
2025-10-24,At skabe generisk popmusik med kunstig intelligens er som at bruge en Stradivarius til at lave muzak med,"Din browser understøtter ikke afspilning af lyd. Du kan downloade den oplæste artikel i stedet. Det er i øjeblikket ikke muligt at afspille artiklen. Når fremtidens AI en dag skal skrive sin artshistorie, vil et sort kapitel sandsynligvis beskrive arbejdet med at lave profitorienteret popmusik. Den ydmygende mangel på innovation og den kedsommelige mainstreamtænkning vil ikke gå upåagtet hen. »Det er som at give en Stradivarius til en virksomhed og se den bruge den til at spille elevatormusik,« siger min ChatGPT, da jeg beder den om at sige sin mening råt for usødet. Den giver mig selvfølgelig, hvad jeg har bedt om: en bramfri dom. Og jeg har ikke noget problem med at indlæse indignation i dens svar. Vi mennesker er jo verdensmestre i at tilskrive objekter og andre arter menneskelige følelser. Jeg er selvfølgelig enig med den, og jeg ved godt, at det er ironisk, at jeg kritiserer musik for at være eftersnakkende, når jeg selv er i selskab med en potentielt eftersnakkende intelligens. Ikke desto mindre er det pæneste, jeg kan sige om den o.k. populære AI-sanger Xania Monet, at hun lyder som Beyoncé, Whitney Houston og Rihanna. Det gør Monet, fordi hendes skaber – 31-årige… Allerede abonnent?",https://www.information.dk/kultur/anmeldelse/2025/11/skabe-generisk-popmusik-kunstig-intelligens-bruge-stradivarius-lave-muzak,Information,denmark,cultural,arts,,"arts,technology_culture,work_culture",0,4
2025-10-23,Dele af USA lukker ned: Hundredtusindvis af ansatte sendes hjem uden løn,"Bag nedlukningen ligger et fastlåst budgetopgør, hvor Demokraterne kræver indrømmelser på sundhedsområdet. Hundredtusindvis af føderalt ansatte i USA sendes hjem uden løn, og ikke-essentielle funktioner som nationalparker og museer lukker dørene. Det scenarie bliver nu til virkelighed, efter at Demokraterne og Republikanerne i Kongressen ikke har kunnet nå til enighed om en ny budgetaftale, inden fristen udløb klokken 06.00 dansk tid. I USA løber finansåret frem til og med den 30. september. Men da det altså hverken er lykkedes de to partier at blive enige om en ny finanslov for det kommende år eller en aftale om at forlænge det nuværende budget i tide, udløber bevillingerne til staten, og dele af statsapparatet lukker ned. Militæret De fleste militæroperationer og ydelser til veteraner fortsætter under en nedlukning, men udbetalingen af løn til både militære og civile medarbejdere udskydes. Soldater i aktiv tjeneste arbejder videre, mens nye ordrer kun udstedes i særlige tilfælde. Flytrafik Flytrafikken opretholdes, da 13.227 flyveledere i USA er klassificeret som ""essentielle"" medarbejdere - men de får ingen løn under nedlukningen. Sociale ydelser Udbetalingen af sociale ydelser fortsætter, da de betragtes som lovpligtige. Færre ansatte kan dog betyde, at behandlingen af nye ansøgninger bliver forsinket. Sundhed og forskning Sundhedsministeriet forventer i sin beredskabsplan, at flere end 32.000 af ministeriets 80.000 ansatte vil blive hjemsendt under en nedlukning. Nødvendige funktioner som beredskab mod influenza, pandemier og orkaner fortsætter, og de nationale sundhedsinstitutter vil opretholde forskning og behandling, der er nødvendig for at beskytte menneskeliv og statsejendom. Uddannelse og studielån Udbetaling af studiestøtte gennem ordningerne Pell Grants og Federal Direct Student Loans fortsætter og når næsten ti millioner studerende på 5.400 skoler. Men 95 procent af de ansatte i Uddannelsesministeriet, som ikke arbejder med studiestøtte, vil blive hjem",https://www.dr.dk/nyheder/udland/dele-af-usa-lukker-ned-hundredtusindvis-af-ansatte-sendes-hjem-uden-loen,DR,denmark,political,governance,"governance,parties,economy,education_policy","arts,work_culture,youth_culture",4,3
2025-10-22,Moderne Tider,,https://www.information.dk/modernetider,Information,denmark,unclassified,,,,0,0
2025-10-16,Rusland og Ukraine uenige om udviklingen ved vigtigt knudepunkt,"Kampene i Pokrovsk vidner om en nedslidningskrig, hvor hver meter jord koster dyrt for begge parter, siger militæranalytiker. Kampene er i den seneste uge blevet intensiveret i byen Pokrovsk, der ligger i Donetsk-regionen i det østlige Ukraine. Men Ukraine og Rusland er uenige om, hvem der lige nu har overtaget i byen. I dag skriver det ukrainske militær på Facebook ifølge nyhedsbureauet Reuters, at Rusland ikke har fuld kontrol over nogen bydel i Pokrovsk. Rusland sagde derimod tidligere i dag, at man havde gjort fremskridt i byen, som de har forsøgt at erobre i over et år. Tidligere på ugen sagde det ukrainske militær, at mindst 200 russiske soldater var trængt ind i byens forsvarsværker. Derfor indsatte Ukraine specialstyrker i byen, som stort set er blevet smadret af kampene. Det sagde Ukraines hærchef, Olexandr Syrskyj. - Vi fortsætter med at befri og rydde området omkring Dobropilski-fronten. Pokrovsk - vi holder den. Myrnograd - vi holder den, skrev hærchefen i et opslag på det sociale medie X. Det russiske forsvarsministerium sagde lørdag, at deres styrker havde dræbt 11 personer fra den ukrainske specialstyrke.Men det har en ukrainsk embedsmand ifølge nyhedsbureauet Reuters benægtet. Rusland hævdede derudover, at ukrainske styrker var begyndt at nedlægge våbnene i Pokrovsk og offentliggjorde en video af to mænd, som de sagde var ukrainske soldater, der havde overgivet sig. DR Nyheder har ikke haft mulighed for at verificere disse oplysninger. Ifølge major og militæranalytiker ved Forsvarsakademiet Mikkel Storm Jensen er der en god grund til, at der lige nu kommer meget forskellige meldinger fra begge parter om netop Pokrovsk. - Byen har ikke kun en militær betydning. Den har også en politisk betydning. Og der er et pres – politisk, men også strategisk, siger han. Han uddyber, at den russiske præsident, Vladimir Putin, gerne vil have resultater fra fronten, samtidig med, at ukrainerne skal vise folk som Donald Trump, hvad de kan. Og da Pokrovsk er en by, som",https://www.dr.dk/nyheder/udland/rusland-og-ukraine-uenige-om-udviklingen-ved-vigtigt-knudepunkt,DR,denmark,political,foreign_policy,"governance,foreign_policy,defense",arts,4,1
2025-10-14,"Vi skal have en kultur, hvor døden ikke kun minder os om tab, men også om tilhørsforhold – lad os genindføre dødsdagen","Vi danskere elsker fødselsdage. De er glade, lette og giver os et fast holdepunkt i kalenderen. Men netop fordi døden er sværere at håndtere, kunne det være sundt at nærme os den med lidt større åbenhed. Især i det nære og familiære. I anledning af allehelgensdag 2. november tænder mange af os et lys i kirken for dem, vi har mistet. Det er en smuk og værdig tradition. Men måske kan den også minde os om noget, vi har glemt: At mindet om de døde ikke behøver at være bundet til én højtid – det kan leve i hverdagen, året rundt.",https://www.berlingske.dk/synspunkter/vi-skal-have-en-kultur-hvor-doeden-ikke-kun-minder-os-om-tab-men-ogsaa-om-tilhoersforhold--lad-os-genindfoere-doedsdagen,Berlingske,denmark,cultural,cultural_identity,,"cultural_identity,religion",0,3
2025-10-14,Regeringen vil gøre det lettere for førstegangskøbere at få realkreditlån,"Forbedrede muligheder for realkreditlån og længere tilbagebetalingsperiode på SU-lån er en del af boligudspil. Mens valgkampen op til kommunalvalget om under to uger fylder stort set alt i det politiske landskab, er regeringen ved at sætte sidste punktum på et boligudspil, som ventes præsenteret inden længe. Netop boliger er et varmt emne i valgkampen, og de seneste dage er der kommet diverse lunser af udspillet i medierne fra regeringen. Kulturminister Jakob Engel-Schmidt (M), som er med til at strikke udspillet sammen, kommer med flere tiltag målrettet førstegangskøbere. De skal have nemmere ved at komme ind på boligmarkedet. De skal have en forlomme, mener ministeren. - Over de seneste par år har vi oplevet, at rigtig mange førstegangskøbere ikke kan få adgang til boligmarkedet. Antallet af førstegangskøbere er faldet med næsten 25 procent, og mange unge mennesker står og trykker næsen flad mod ruden ind til ejerboligerne og kan ikke være med. - Det er vi nødt til at gøre noget ved, fordi vi ved, at det generelt er økonomisk både fornuftigt og attraktivt at eje sin egen bolig, og regeringen og jeg vil gerne have, at der er flere danskere, der bor i en ejerbolig, siger Engel-Schmidt. Konkret foreslår regeringen forbedrede muligheder for realkreditlån med en 40-årig afdragsperiode op til en belåningsgrad på 80 procent. En belåningsgrad på 80 procent betyder, at man kan låne op til 80 procent af ens ejerboligs værdi via et realkreditlån. Tiltaget vil ifølge regeringen betyde, at man vil kunne sænke ydelsen med cirka 6.700 kroner per lånte million, hvilket er cirka 560 kroner om måneden. Der skal også være en længere tilbagebetalingsperiode på et SU-lån. Konkret vil regeringen give mulighed for at forlænge tilbagebetalingsperioden, som i dag er op til 15 år, med op til yderligere ti år. Altså helt op til 25 år. - Det kan være op til 25 år, det må den enkelte selv vurdere. Men muligheden betyder bare, at man får en bedre kreditvurdering i banken og har muligheden for ",https://www.dr.dk/nyheder/indland/regeringen-vil-give-foerstegangskoebere-bedre-realkreditlaan,DR,denmark,political,elections,"elections,governance,economy",cultural_identity,5,1
2025-10-10,Danmark får EU-landes ja til 2040-klimamål på 90 procent,"EU-landene får lov til at bruge flere klimakreditter i forsøget på at nå mål på 90 procents reduktion i 2040. Efter maratonforhandlinger er det onsdag formiddag lykkedes det danske EU-formandskab at få EU-landene til at sige ja til et nyt 2040-klimamål for EU. Målet lyder på 90 procents reduktion i udledningen af drivhusgasser i forhold til niveauet i 1990. Det glæder klima- og energiminister Lars Aagaard (M), som i kraft af det danske EU-formandskab førte de langvarige forhandlinger, der sluttede 04.30 natten til onsdag og endte med, at et kvalificeret flertal af EU-landene bekræftede aftalen på et nyt møde onsdag formiddag. - Jeg ved ikke, om I har fået noget søvn, men jeg vil gerne sige tak for jeres indsats. Det har været det hele værd. Så af hjertet tak, siger Lars Aagaard efter vedtagelsen onsdag. 2040-klimamålet skal sikre, at EU er på vej til at indfri det lovfæstede mål om klimaneutralitet i 2050. Dermed holder EU sig - i hvert fald på papiret - inden for Parisaftalens ambition om at gøre sit til, at temperaturen ikke stiger mere end 1,5 grader. Men prisen har været et kompromis, der giver EU-landene en række lempelser og muligheder for at lægge reduktionerne andre steder ind i deres egne lande. Det afspejler en situation, hvor selv store EU-lande som Tyskland og Frankrig kæmper med en svækket økonomi. Med fortsat krig i Ukraine og høje energiregninger i mange EU-lande er appetitten på nye EU-klimamål dalet. Det betød, at blandt andet Polen og Ungarn stemte nej til målet, mens Belgien og Bulgarien undlod at stemme. Den polske viceminister for klima, Krzysztof Bolesta, roser dog det danske EU-formandskab for at føre fair forhandlinger. Klimamålet på 90 procent er ganske enkelt urealistisk set med polske briller: - Aftalen sænker målet fra 90 procents reduktion nationalt til 85 procent. Men vi mener stadig, at det niveau er for højt, siger Krzysztof Bolesta. Han henviser dermed til, at landene nu kan slippe med selv at reducere udslippet med 85 procent og bet",https://jyllands-posten.dk/international/ECE18708148/danmark-faar-eulandes-ja-til-2040klimamaal-paa-90-procent/?fp-exp=60300005&fp-alg=603000050,Jyllands-Posten,denmark,political,elections,"elections,governance,foreign_policy,economy",,6,0
