date,headline,content,url,source,country,primary_agenda,primary_category,political_categories,cultural_categories,political_score,cultural_score
2025-11-05,Sykefraværet stupte: Her jobber de fire dagers uke med full lønn,"Velkommen til drømme-barnehagen! Plenty ansatte. 100 prosent lønn for 80 prosent stilling. Null sykefravær i august. Spørsmålet blir: Hva gjør du som styrer i en slik barnehage? Jo, du forteller lokalpolitikere og kommunale ledere om hverdag og virkelighet. Og om konsekvensene av å mangle folk. Styrer Una Øien (39) snakker om at «det brant her». I hennes vokabular betyr det at driften var helt nede på tannkjøttet. Det fikk ringvirkninger. – Våren 2024 måtte vi ned på femti prosent drift. Vi klarte ikke mer enn det. I praksis – to avdelinger åpen annenhver dag. Vi fikk ikke tak i vikarer. Vi var altfor få på jobb, beskriver Una. Det førte til at foreldre måtte være hjemme annenhver dag for å passe barn. Sykehjemmet fikk trøbbel med bemanning. Det ballet på sæ, som de sier i Kvalsund. Så kom noen glupe kommuneledere og lokalpolitikere på at de måtte gjøre noe – prøve ut noe. Gjerne noe litt drastisk som ble lagt merke til. – Da ble det bestemt fra politisk hold at vi skulle starte et prøveprosjekt der de ansatte skal jobbe 80 prosent for 100 prosent lønn, med en rullerende ukentlig fridag, forteller styrer Una. Barnehagelærer Silje Sørnes (29) synes ordningen er raus, men helt nødvendig for å rekruttere sånne som henne selv. Hun søkte seg til Kvalsund barnehage før 80/100-ordningen80/100-ordningenEn arbeidsordning der ansatte jobber 80 prosent av tiden, men får 100 prosent lønn, ofte med en rullerende fridag hver uke. kom i gang. Årsaken var blant annet flinke folk som Una, som hun kjente fra før – og stor vekt på utebarnehage og samisk kultur. Men 80/100-ordningen har styrket jobbvalget hennes. Silje, som også er pedagogisk leder i barnehagen, mener ordningen er så gunstig at den vil få ansatte til å bli – og få flere til å søke seg dit. – Jeg fikk tilbud om jobb her og i to andre barnehager i Hammerfest. Ordningen her er jo et kjempestort pluss, sier Silje til VG. Hun har selvsagt merket seg bemanningskrisen som preger barnehage-Norge. Hun er én av mange lærere og b",https://www.vg.no/nyheter/i/MnMr5K/80-100-ordningen-i-hammerfest-slik-loeser-de-barnehagekrisen,vg,norway,cultural,cultural_identity,elections,"cultural_identity,arts",2,2
2025-10-12,Østers-misjonæren som må kaste alt,"Et kloakkutslipp i Glomma har stanset østershøstingen på Hvaler. Nå kaster Petter Bjørge delikatesser verdt tusenvis – og kjemper for å overleve. På en strand ytterst på Hvaler står selverklært østers-misjonær Petter Bjørge med en perfekt stillehavsøsters i hånden. Den skulle egentlig serveres på en restaurant. Nå må han kaste den. – For oss er det krise, sier Bjørge, daglig leder i det lille østersfirmaet Storm Østers. Til vanlig sanker han delikatesser i Ytre Hvaler nasjonalpark. Men i høst stoppet selskapet all innhøsting – etter at Sarpsborg kommune fikk tillatelse til å slippe ut urenset kloakk i Glomma under byggingen av nytt renseanlegg. – Både for mattrygghet, men også for omdømmet, har vi valgt å stanse produksjonen, sier han. Det som frustrerer ham mest, er at hverken Storm Østers eller Mattilsynet ble informert på forhånd. – Det rare er at Sarpsborg kommune ikke informerte oss nedstrøms. Koster og Strömstad har heller ikke hørt noe. Da vi kontaktet Mattilsynet, visste heller ikke de om utslippet, sier han. Han mener kommunen har mye å lære av saken. – Jeg spurte hvem som tok regningen. De skjønte ikke hva jeg mente. Vi har null inntekt, men må fortsatt betale for prøver og analyser, sier Bjørge. I en e-post til VG skriver Stein Solheim Olsen, virksomhetsleder for vann og avløp i Sarpsborg kommune, at kommunen informerte om den midlertidige stansen på forhånd – blant annet på egne nettsider og i lokalavisene. «Det er ikke etablert noen kompensasjonsordning for næringsaktører i forbindelse med utslippet,» skriver han. Tillatelsen ble gitt av Statsforvalteren i juni 2024 etter ordinær søknadsbehandling og offentlig høring. Hvaler-ordfører Mona Vauger bekrefter at kommunen protesterte – men tar samtidig Sarpsborg i forsvar. – Dagens anlegg renser ikke kloakken godt nok. Det gamle slipper bakterier fra 65.000 innbyggere rett ut i Glomma, sier hun. – Forholdene etterpå vil bli så mye bedre, håper Vauger. Paradoksalt nok viser prøvene at vannkvaliteten er bedre ",https://www.vg.no/nyheter/i/RzPMed/oestersprodusent-maa-kaste-delikatessen-paa-grunn-av-sarpsborg-utslipp,vg,norway,political,elections,"elections,defense",,3,0
2025-10-04,Forsvarer landslagsprofil etter rasismeanklager: – En hedersmann,"Aron Dønnum er blant spillerne som er tatt med til kampene mot Estland og Italia. Det norske kantspilleren spiller for tiden i franske Toulouse, men har stått i en storm siden helgens kamp mot Le Havre. En gest den norske Toulouse-proffen gjorde mot en Le Havre-spiller er i søkelyset, og franske L'Equipe melder at det etiske rådet i fransk fotball (CNE) har besluttet å be den franske ligaens disiplinærkomité om å se på saken. Situasjonen som har skapt store overskrifter i Frankrike, oppsto på overtid i annen omgang søndag. Dønnum ble da taklet ureglementert av Le Havre-spiller Simon Ebonog, og det gnistret til mellom spillerne. Det ble en opphetet ordutveskling mellom Dønnum og Ebonog hvor det ble meldt frem og tilbake. Nordmannen viftet deretter hånden fram og tilbake under nesen sin. AMPERT: Her blir det bråk mellom Aron Dønnum og Le Havre-spiller Simon Ebonog. Le Havres trener Didier Digard beskyldte ham for rasisme, men anklagen ble avvist blankt av både Dønnum og klubben hans. – Jeg trodde han ville slåss. Så luktet jeg pusten hans. Jeg gjorde bevegelsen fordi det luktet vondt. Det har ingenting med rasisme å gjøre, jeg forstår ikke hvorfor de sier det, sa Dønnum til L'Equipe søndag kveld. Solbakken tar også sin spiller i forsvar: – Dette kan du ta helt med ro. Dette har han ikke gjort. Han er en hedersmann, så det tror jeg vi kan legge død, sa Solbakken. Deretter utdypet han: – Jeg synes både klubben og han har tatt dette fint. Klubben har tatt det ned, og han har forklart seg. Dette er selvsagt ergerlig og kjedelig for ham, men alle som kjenner Aron vet at det ikke er noe i dette, sa Solbakken. FORSVARES: Landslagsspiller og Toulouse-profil Aron Dønnum. Ødegaard har denne sesongen slitt med en rekke skader, og landslagskapteinen var ikke med i kampene mot Moldova og Israel på grunn av en kneskade. Det er samme skade nordmannen sliter med nå, og som gjør at drammenseren ikke blir med. – Han har det bra og det går som det skal. Han er ikke her, sier Ståle Solba",https://www.nrk.no/sport/martin-odegaard-er-ikke-med-i-troppen-til-norges-skjebnekamper-1.17638620,nrk,norway,cultural,arts,defense,arts,1,1
2025-07-22,Hedret avdød kamerat før gjensyn med gamleklubben,"– Savner deg kompis, hver dag, skrev Trent Alexander-Arnold på kortet til Diogo Jota. Trent Alexander-Arnold viste respekt for sin tidligere lagkamerat Diogo Jota da han returnerte til Anfield med Real Madrid mandag kveld. Den engelske forsvareren var en del av en større Real Madrid-delegasjon med blant annet hovedtrener Xabi Alonso, Dean Huijsen og klubbikon Emilio Butragueno, som la ned en krans ved minnestedet for Jota utenfor stadion. Den portugisiske spissen døde tragisk i en bilulykke sammen med broren André Silva i juli. Alexander-Arnold, som spilte sammen med Jota i fem sesonger, la ned blomster for sin tidligere lagkamerat. Han hadde også skrevet en personlig hilsen, der det sto: – Min kompis Diogo, du savnes så mye, men er fortsatt så elsket. Ditt og Andrés minne vil alltid leve videre. – Jeg smiler hver gang jeg tenker på deg og vil alltid huske de gode tidene vi delte. Savner deg kompis, hver dag. Foto: ADAM VAUGHAN / EPA / NTB På minnestedet ble det også lagt ned en spillkonsoll for å hedre Jotas lidenskap for videospill. På den røde konsollen ble blant annet Jotas draktnummer 20 skrevet på og det sto: «For alltid en mester». Dette er Alexander-Arnolds første besøk til Anfield siden overgangen til Real Madrid i sommer. Hovedtrener Alonso kommenterte returen på mandagens pressekonferanse. – Vi har ikke snakket om det helt konkret, men har snakket om klubben og laget. Han må ha sine egne følelser og nyte det på sin måte. Jeg skal ikke fortelle ham hva han skal føle, sa Alonso. – Selvfølgelig er historien hans annerledes enn min – han er født og oppvokst i Liverpool. Jeg husker ham fra ung alder i akademiet, og så da han kom opp på førstelaget og vant Champions League. Så han bør nyte øyeblikket, for det er fint å være tilbake, fortsatte den tidligere Liverpool-spilleren. Trents sesongstart i Real Madrid har ikke vært ideell. Han har spilt 156 minutter fordelt på fem kamper før han skadet seg fem minutter ut i første mesterligakamp mot Marseille. Høyreback",https://www.vg.no/sport/i/rPvgMa/trent-alexander-arnold-hedret-diego-jota-foer-moete-med-gamleklubben,vg,norway,cultural,arts,defense,arts,1,1
2025-07-03,Erika Kirk føler seg analysert,"Charlie Kirks enke (36) vil ha kameraer i rettssalen. Erika Kirk har stilt opp i et TV-intervju med Fox News, som skal sendes i sin helhet onsdag 5. november. Kanalen har sluppet et lite utdrag, der temaet blant annet er at forsvarsapparatet ønsker å forby kameraer under rettssaken mot drapstiltalte Tyler Robinson (22). Snart to måneder har gått siden 31 år gamle Charlie Kirk ble skutt og drept mens han holdt et foredrag for organisasjonen Turning Point USA ved Utah Valley University – 10. september. På spørsmål fra TV-reporter Jesse Watters (47) om hva hun mener om det, svarer Erika Kirk: – Det var kameraer overalt rettet mot min ektemann da han ble drept. Det har vært kameraer rettet mot mine venner og min familie – som sørger. Det har vært kameraer rettet mot meg konstant, som analyserer den minste av mine bevegelser, hvert eneste smil, hver eneste tåre. Tårene renner nedover kinnet mens hun snakker. – Vi fortjener å ha kameraer der inne, sier hun. – La alle se hva sann ondskap er. Her blir Charlie Kirk skutt: Hvis Robinson blir dømt for drap, kan han få dødsstraff. Charlie Kirk var en innflytelsesrik aktivist på den kristenkonservative høyresiden i amerikansk politikk, med stor appell til unge. Han var en nær alliert av Trump. Turning Point har utnevnt Erika til ny leder etter drapet på ektemannen. Under et Turning Point-arrangement i Oxford 22. oktober, ble hun ledsaget av visepresident JD Vance (41) – som var hedersgjest. – Ingen kan erstatte min ektemann. Ingen. Men jeg ser noen likheter med Charlie i JD, sa Erika før hun inviterte Vance ut på scenen. Den varme omfavnelsen mellom de to på scenen, har gått viralt. Mange mener det fremsto upassende. People er blant mediene som omtaler reaksjonene. Tilbakeblikk på to av Erika Kirks taler etter drapet på ektemannen – se VGTV. Informasjon om AI i VG-artikler",https://www.vg.no/rampelys/i/eMlW7Q/erika-kirk-foeler-seg-analysert,vg,norway,political,elections,"elections,defense,education_policy",arts,3,2
2025-07-03,Jeg skulle hatt en Mummimamma nå,"nå er det hardt å være norsk bokelsker, og Bokbrevet står i fare for å bli Nekrolog­brevet. For bokåret 2025 har tatt fra oss nok en bauta i norsk litteratur, helt uventet denne gangen. I begravelsen til Roy Jacobsen hulket jeg da datteren Maria sa at faren var helten hennes. Lars Saabye Christensen sa noe i sin tale som jeg noterte meg: En god bok kan være en god gjerning. Det passer godt på Jacobsens bøker, som løfter fram de usynlige og de uverdige. Den siste uka har jeg vendt tilbake til Barrøybøkene hans, og mener nå at Jacobsen er vår tids Hamsun. Og så skal det handle om Mummidalen i dag, for jeg har benyttet 80-årsjubileet som et spark bak til å lese bøkene, og det er PERFEKT høstlektyre. – Hvilken Mummikopp vil du ha? På hytta til en venninne i sommer ble jeg svar skyldig. Jeg hadde ikke lest en eneste Mummibok, og visste ikke forskjell på Snusmumriken og Lille My. Da jeg var barn gikk Mummitrollene som tegneseriestripe i Aftenposten, og jeg skjønte like lite av den som jeg gjorde av Fantomet-stripa. Jeg ble bare irritert. Her ser vi Stinky i en Mummidalen-stripe fra Aftenposten i 1982. Stinky ble fjernet fra en utstilling på Brooklyn Library i år på grunn av klager. På nittitallet kom Mummidalen som animasjonsserie på NRK, men da var jeg for gammel for barne-TV. Så har jeg sett i voksen alder at de koppene har poppet opp hos mange venner, pluss masse annen merch, og egentlig gjorde det meg bare mer skeptisk. Men i år fyller Mummitrollene 80 år, og jeg har skjønt at Mummi er blitt et globalt fenomen – i alle mulige ulike former. POPULÆRT: Moomin Valley Park i Tokyo trekker barn og voksne i hopetall. Her en liten japansk Snusmumrik. I Japan har de en egen Moomin Valley-fornøyelsespark! Spillutviklere lanserer det ene Mummispillet etter det andre. Brooklyn Library I New York feiret jubileet med en egen Moomin-utstilling. Jeg begynte å føle meg som piken med svovelstikkene: At jeg sto kald og fattig utenfor og så inn på den verdens­omspennende Mummifamilien so",https://www.nrk.no/bokbrevet/bokbrevet-_60-mummitrollene-er-perfekt-trost-1.17631568,nrk,norway,political,elections,elections,,1,0
2025-06-28,8 av 10 p-plassar borte med dagens reglar,"– Stopp MDG-galskapen, tornar Framstegspartiets Ingeborg Bjørnevik. – Eg seier som Erna: Eg ville ikkje brukt akkurat dei orda, seier byutviklingsbyråd James Stove Lorentzen (H). Han og byrådet jobbar for tida med å mjuke opp dagens reglar og tillate meir parkering i nye byggeprosjekt. I det same byrådet sit Venstre. Venstre har – i motsetning til byrådspartnar Høgre – sagt ja til dagens svært restriktive parkeringsreglar. Saman med blant anna MDG. – Enda ein gong er det full splitting og borgarleg kaos. Mens Frp og Høgre vil sleppe biltrafikken laus, vil Venstre halde igjen, konstaterer MDGs gruppeleiar Sirin Stav. OPPGITT: Sirin Stav er MDGs gruppeleiar i Oslo bystyre og leiar samferdsels- og miljøutvalet. Dermed er bordet dekt for ein ny, heftig parkeringskrangel i Oslo. Til nå har mykje handla om at gateparkering blir borte til fordel for raud asfalt og nye sykkelfelt. Striden denne gongen står om kor mykje parkering som skal vere lov når ein bygger nye bustader og butikkar, skular og sjukeheimar. Vi ser same problematikk mange stader i landet. Den blei sett på spissen i saka om det planlagde Ikea-varehuset i Stavanger. Det får 183 parkeringsplassar for bil. Oslo Handelsstands Forening har fått Vista Analyse til å sjå på verknadene av den nye parkeringsnorma som blei innført i Oslo i 2022. Den la strenge avgrensingar på kor mange parkeringsplassar som kunne byggast ved nye bustader, forretningar og institusjonar som skolar og sjukeheimar. Derimot blir utbyggarane pålagde å sikre mange parkeringsplassar for sykkel. Konklusjonen er at dersom alle daglegvarebutikkar i Oslo skulle blitt etablerte med dagens reglar, ville 5300 av 6500 parkeringsplassar vore borte. For betre å forstå saka tar vi turen vestover i byen. Der opna Meny Gressbanen i Holmenkollveien i november i fjor. Butikken er sprengd ned i bakken saman med ein parkeringskjellar med 45 bilplassar. P-HUS: Både butikken og parkeringshuset er sprengt ned i bakken på Holmen. På toppen har Ready fått ein flun",https://www.nrk.no/stor-oslo/byradet-med-nye-parkeringsreglar-for-oslo-1.17631635,nrk,norway,cultural,arts,"elections,parties",arts,2,2
2025-06-23,Ten­åringene forbauser og bekymrer – forsker glad ingen er norske,"Han er berørt av Gud. OL har en ny superstjerne. Skal du flytte grenser for alder for å vinne? For en skiløper! De rosende ordene sitter løst når unge talenter presenterer seg på den store verdensscenen, men ikke alle lar seg rive med. – Jeg synes ikke det er kult når jeg ser barnestjerner komme opp, for jeg ser de potensielle nedsidene av det. Det sier Christian Thue Bjørndal, førsteamanuensis ved Institutt for idrett og samfunnsvitenskap ved Norges idrettshøgskole (NIH), til NRK. Han har skrevet doktorgrad med fokus på talentutvikling i norsk håndball, og leder for øyeblikket et forskningsprosjekt om elevers læring og utvikling på spesialiserte idrettsungdomsskoler. Han er blant dem NRK har presentert en liste for over noen av de fremste tenåringene som allerede er i verdenstoppen i sin idrett. Her kan du se noen av tenåringene som nå preger sine idretter verden rundt: NIH-forsker Bjørndal mener en slik liste gir inntrykk av at det er mange tenåringer i verdenstoppen, men synes ikke det er godt å si om det er flere eller færre sammenlignet med tidligere. – Men det skjer en del endringer i organiseringen av barne-, ungdoms- og eliteidrett – både internasjonalt og nasjonalt – som gjør at de kommer opp eller presses frem tidligere, sier han. NIH-FORSKER: Christian Thue Bjørndal. – Hva slags endringer er det snakk om? – Man ser en tendens til økt profesjonalisering og kommersialisering tidligere. Det er forskjell fra idrett til idrett, forskjell fra land til land og kontekst til kontekst. Helt generelt ser man en tendens hvor det spisses og intensiveres tidligere. Jan Wojtaszek er leder for talentutvikling ved Olympiatoppen. Han forteller at tenåringer i verdenstoppen ikke er noe nytt, og noe som alltid har kommet. Samtidig registrerer han at det er en del unge som kommer opp nå. Han blir ikke overrasket over at det er mulig for tenåringer å bli såpass gode. – Det er veldig mange som ønsker å bli veldig god, veldig fort. Det er mange gode miljøer og talenter der ute s",https://www.nrk.no/sport/tenaringer-i-verdenstoppen_-forsker-ved-nih-glad-ingen-er-norske-1.17584134,nrk,norway,cultural,religion,,"religion,youth_culture",0,2
2025-05-31,Langlesing fra NRK Kultur,"– Det franske rollespillet «Clair Obscur: Expedition 33» topper manges lister for spillåret 2025. Det er lett å forstå hvorfor, mener vår spillkritiker Rune Fjeld Olsen. ANMELDELSE: «Clair Obscur: Expedition 33»",https://www.nrk.no/kultur/langlesing-fra-nrk-kultur-1.13267199,nrk,norway,cultural,cultural_identity,,cultural_identity,0,1
2025-05-25,Aftur har flyttet fra Nerdrum-gården: – Jeg er litt forelsket i bylivet,"Hun ble kjent for mange som en del av Familien Nerdrum, der familiemedlemmer i flere generasjoner lever tett på hverandre på gården utenfor Stavern i Vestfold. Men denne høsten har Aftur Nerdrum tatt et valg hun beskriver som livsendrende: Hun har flyttet til Oslo. – Jeg har vokst opp med gården som en base, og har nytt fordelene ved det – men jeg kom til et punkt der jeg ville individualisere meg selv – noe jeg ikke får gjort med familien. Blikket er vendt utover – hun har et ønske om å komme seg ut og prøve seg. Som frilanser og formidler av poesi, er Oslo et naturlig valg for henne. – Det som trekker meg til Oslo, er at andre trekker meg dit. Det er her i byen folk trenger meg til oppdrag, sier hun i podkasten Drivkraft på NRK. Slik kjenner vi Aftur – omgitt av landskap, familie og natur. Nå venter byens kriker og kroker, poesi og puls. Med to små barn, har 26-åringen vært gjennom en intens periode. Hun forteller at hun lenge avventet flyttingen til byen, blant annet fordi barna kunne løpe fritt på landet, mens i byen er det mer travelt. Nå har hun funnet løsninger som fungerer, blant annet tilgang til bakgård og kort vei til svigerforeldre som bor utenfor Oslo. Flyttingen har også ført til personlig utvikling. Aftur trives godt i Oslos gater og tror at dette kan være med på å utfordre hennes verdier. – Jeg har et slags selvrealiseringsprosjekt nå, hvor jeg utfordrer verdiene mine, sier hun. Mens det på Nerdrum-gården foregår en kamp for det klassiske, har hun nå besøkt moderne kunstutstillinger. Og hun leser også Jon Fosse for første gang. – Han ble ikke lest på gården, fordi han befinner seg i et moderne univers. Nå går jeg inn med et åpent sinn, sier hun. Ett av favorittstedene i hovedstaden er likevel Cafè Engebret, et sted hun beskriver som harmonisk og klassisk, der blant andre Henrik Ibsen, Edvard Grieg og Edvard Munch har vært gjester opp gjennom historien. – Jeg tar med meg verdier fra gården, selvfølgelig. Hun har også testet en mer moderne by-klassiker",https://www.nrk.no/kultur/aftur-nerdrum-har-flyttet-til-oslo---og-elsker-det-1.17629348,nrk,norway,political,elections,elections,arts,2,1
